"","date","county","population","cases","cases_per_pop","deaths","deaths_per_pop"
"206",2020-03-24,"Benton",93053,4,4.29862551449174e-05,0,0
"207",2020-03-24,"Clackamas",418187,17,4.0651670185826e-05,1,2.39127471681329e-06
"208",2020-03-24,"Clatsop",40224,1,2.48607796340493e-05,0,0
"209",2020-03-24,"Deschutes",197692,10,5.05837363170993e-05,0,0
"210",2020-03-24,"Douglas",110980,1,9.01063254640476e-06,0,0
"211",2020-03-24,"Grant",7199,1,0.000138908181691902,0,0
"212",2020-03-24,"Hood River",23382,1,4.2767941151313e-05,0,0
"213",2020-03-24,"Jackson",220944,3,1.35781012383228e-05,0,0
"214",2020-03-24,"Josephine",87487,1,1.14302696400608e-05,0,0
"215",2020-03-24,"Klamath",68238,1,1.46545912834491e-05,0,0
"216",2020-03-24,"Lane",382067,4,1.04693679380842e-05,1,2.61734198452104e-06
"217",2020-03-24,"Linn",129749,20,0.00015414376989418,1,7.70718849470902e-06
"218",2020-03-24,"Marion",347818,32,9.20021390497329e-05,1,2.87506684530415e-06
"219",2020-03-24,"Multnomah",812855,25,3.0755792853584e-05,2,2.46046342828672e-06
"220",2020-03-24,"Polk",86085,3,3.48492768775048e-05,0,0
"221",2020-03-24,"Umatilla",77950,2,2.56574727389352e-05,0,0
"222",2020-03-24,"Union",26835,1,3.72647661635923e-05,0,0
"223",2020-03-24,"Washington",601592,76,0.000126331467173766,2,3.32451229404646e-06
"224",2020-03-24,"Yamhill",107100,6,5.60224089635854e-05,0,0
"225",2020-03-25,"Benton",93053,6,6.44793827173761e-05,0,0
"226",2020-03-25,"Clackamas",418187,21,5.02167690530791e-05,2,4.78254943362658e-06
"227",2020-03-25,"Clatsop",40224,1,2.48607796340493e-05,0,0
"228",2020-03-25,"Deschutes",197692,10,5.05837363170993e-05,0,0
"229",2020-03-25,"Douglas",110980,3,2.70318976392143e-05,0,0
"230",2020-03-25,"Grant",7199,1,0.000138908181691902,0,0
"231",2020-03-25,"Hood River",23382,1,4.2767941151313e-05,0,0
"232",2020-03-25,"Jackson",220944,4,1.81041349844304e-05,0,0
"233",2020-03-25,"Josephine",87487,2,2.28605392801216e-05,0,0
"234",2020-03-25,"Klamath",68238,1,1.46545912834491e-05,0,0
"235",2020-03-25,"Lane",382067,5,1.30867099226052e-05,1,2.61734198452104e-06
"236",2020-03-25,"Lincoln",49962,1,2.00152115607862e-05,0,0
"237",2020-03-25,"Linn",129749,25,0.000192679712367725,1,7.70718849470902e-06
"238",2020-03-25,"Marion",347818,43,0.000123627874348079,2,5.75013369060831e-06
"239",2020-03-25,"Multnomah",812855,33,4.05976465667308e-05,2,2.46046342828672e-06
"240",2020-03-25,"Polk",86085,3,3.48492768775048e-05,0,0
"241",2020-03-25,"Umatilla",77950,2,2.56574727389352e-05,0,0
"242",2020-03-25,"Union",26835,1,3.72647661635923e-05,0,0
"243",2020-03-25,"Washington",601592,96,0.00015957659011423,2,3.32451229404646e-06
"244",2020-03-25,"Yamhill",107100,7,6.5359477124183e-05,0,0
"245",2020-03-26,"Benton",93053,6,6.44793827173761e-05,0,0
"246",2020-03-26,"Clackamas",418187,21,5.02167690530791e-05,2,4.78254943362658e-06
"247",2020-03-26,"Clatsop",40224,2,4.97215592680986e-05,0,0
"248",2020-03-26,"Deschutes",197692,15,7.5875604475649e-05,0,0
"249",2020-03-26,"Douglas",110980,3,2.70318976392143e-05,0,0
"250",2020-03-26,"Grant",7199,1,0.000138908181691902,0,0
"251",2020-03-26,"Hood River",23382,1,4.2767941151313e-05,0,0
"252",2020-03-26,"Jackson",220944,4,1.81041349844304e-05,0,0
"253",2020-03-26,"Josephine",87487,4,4.57210785602432e-05,0,0
"254",2020-03-26,"Klamath",68238,1,1.46545912834491e-05,0,0
"255",2020-03-26,"Lane",382067,7,1.83213938916473e-05,1,2.61734198452104e-06
"256",2020-03-26,"Lincoln",49962,1,2.00152115607862e-05,0,0
"257",2020-03-26,"Linn",129749,26,0.000200386900862434,1,7.70718849470902e-06
"258",2020-03-26,"Marion",347818,57,0.000163878810182337,2,5.75013369060831e-06
"259",2020-03-26,"Multnomah",812855,45,5.53604271364512e-05,2,2.46046342828672e-06
"260",2020-03-26,"Polk",86085,6,6.96985537550096e-05,0,0
"261",2020-03-26,"Tillamook",27036,1,3.69877200769345e-05,0,0
"262",2020-03-26,"Umatilla",77950,2,2.56574727389352e-05,0,0
"263",2020-03-26,"Union",26835,1,3.72647661635923e-05,0,0
"264",2020-03-26,"Wasco",26682,1,3.74784498913125e-05,0,0
"265",2020-03-26,"Washington",601592,104,0.000172874639290416,3,4.9867684410697e-06
"266",2020-03-26,"Yamhill",107100,7,6.5359477124183e-05,0,0
"267",2020-03-27,"Benton",93053,6,6.44793827173761e-05,0,0
"268",2020-03-27,"Clackamas",418187,31,7.4129516221212e-05,2,4.78254943362658e-06
"269",2020-03-27,"Clatsop",40224,2,4.97215592680986e-05,0,0
"270",2020-03-27,"Columbia",52354,1,1.91007372884593e-05,0,0
"271",2020-03-27,"Deschutes",197692,18,9.10507253707788e-05,0,0
"272",2020-03-27,"Douglas",110980,4,3.6042530185619e-05,0,0
"273",2020-03-27,"Grant",7199,1,0.000138908181691902,0,0
"274",2020-03-27,"Hood River",23382,1,4.2767941151313e-05,0,0
"275",2020-03-27,"Jackson",220944,6,2.71562024766457e-05,0,0
"276",2020-03-27,"Josephine",87487,4,4.57210785602432e-05,0,0
"277",2020-03-27,"Klamath",68238,2,2.93091825668982e-05,0,0
"278",2020-03-27,"Lane",382067,9,2.35560778606894e-05,1,2.61734198452104e-06
"279",2020-03-27,"Lincoln",49962,1,2.00152115607862e-05,0,0
"280",2020-03-27,"Linn",129749,28,0.000215801277851852,1,7.70718849470902e-06
"281",2020-03-27,"Marion",347818,83,0.000238630548160245,3,8.62520053591246e-06
"282",2020-03-27,"Morrow",11603,1,8.61846074291132e-05,0,0
"283",2020-03-27,"Multnomah",812855,67,8.2425524847605e-05,2,2.46046342828672e-06
