"","lon","lat","group","county"
"217",-123.174468994141,46.1689414978027,5,"columbia"
"218",-123.117164611816,46.1689414978027,5,"columbia"
"219",-122.996841430664,46.1116409301758,5,"columbia"
"220",-122.910903930664,46.071533203125,5,"columbia"
"221",-122.847877502441,45.9798622131348,5,"columbia"
"222",-122.807769775391,45.934024810791,5,"columbia"
"223",-122.790588378906,45.8767318725586,5,"columbia"
"224",-122.790588378906,45.8423538208008,5,"columbia"
"225",-122.790588378906,45.8194351196289,5,"columbia"
"226",-122.77912902832,45.7907867431641,5,"columbia"
"227",-122.76766204834,45.7678680419922,5,"columbia"
"228",-122.77912902832,45.7334899902344,5,"columbia"
"229",-122.77912902832,45.7048416137695,5,"columbia"
"231",-123.816177368164,42.811408996582,6,"coos"
"232",-123.833366394043,42.7827568054199,6,"coos"
"233",-123.856285095215,42.7827568054199,6,"coos"
"234",-123.936500549316,42.759838104248,6,"coos"
"235",-123.936500549316,42.7369194030762,6,"coos"
"236",-123.959419250488,42.7369194030762,6,"coos"
"237",-124.005256652832,42.6968154907227,6,"coos"
"238",-124.01099395752,42.6796264648438,6,"coos"
"239",-124.119850158691,42.6738967895508,6,"coos"
"240",-124.12557220459,42.6681671142578,6,"coos"
"241",-124.142761230469,42.6681671142578,6,"coos"
"242",-124.142761230469,42.7197341918945,6,"coos"
"243",-124.154220581055,42.7426528930664,6,"coos"
"244",-124.154220581055,42.7827568054199,6,"coos"
"245",-124.177139282227,42.7827568054199,6,"coos"
"246",-124.177139282227,42.817138671875,6,"coos"
"247",-124.148498535156,42.817138671875,6,"coos"
"248",-124.148498535156,42.8572463989258,6,"coos"
"249",-124.165679931641,42.8744316101074,6,"coos"
"250",-124.217247009277,42.8916206359863,6,"coos"
"251",-124.222984313965,42.9317283630371,6,"coos"
"252",-124.257354736328,42.9317283630371,6,"coos"
"253",-124.257354736328,42.960376739502,6,"coos"
"254",-124.446426391602,42.954647064209,6,"coos"
"255",-124.423522949219,42.9947547912598,6,"coos"
"256",-124.394859313965,43.1093444824219,6,"coos"
"257",-124.33757019043,43.269775390625,6,"coos"
"258",-124.354751586914,43.3156089782715,6,"coos"
"259",-124.343307495117,43.3385276794434,6,"coos"
"260",-124.286003112793,43.3786354064941,6,"coos"
"261",-124.217247009277,43.4989547729492,6,"coos"
"262",-124.177139282227,43.6020851135254,6,"coos"
"263",-123.873474121094,43.6020851135254,6,"coos"
"264",-123.867744445801,43.5218734741211,6,"coos"
"265",-123.816177368164,43.5104141235352,6,"coos"
"266",-123.816177368164,43.4302024841309,6,"coos"
"267",-123.764610290527,43.4302024841309,6,"coos"
"268",-123.764610290527,43.2583122253418,6,"coos"
"269",-123.695861816406,43.2525825500488,6,"coos"
"270",-123.707321166992,43.1379928588867,6,"coos"
